cidade,area,quartos,wcs,vagas,andar,animal,mobilia,condominio,aluguel,iptu
Campinas,240,3,4,2,-,s,n,0,3000,250
Belo Horizonte,300,5,3,4,-,s,n,900,6800,167
Porto Alegre,55,2,1,0,2,s,n,287,1000,42
São Paulo,150,4,4,1,-,s,s,0,4500,615
Campinas,90,1,1,1,7,n,s,1750,1680,100
São Paulo,85,1,2,1,14,s,n,800,2800,92
Campinas,103,3,2,2,2,s,n,1500,1360,292
São Paulo,111,3,2,0,7,s,n,1370,2500,264
Porto Alegre,70,2,2,0,7,s,s,600,3100,50
São Paulo,228,3,4,3,12,n,s,1137,4800,513
Porto Alegre,52,2,2,1,12,s,n,350,1900,42
São Paulo,299,3,3,3,1,s,n,2689,1942,316
São Paulo,300,3,3,2,-,s,n,0,10500,768
São Paulo,120,3,3,1,-,s,n,0,2800,75
São Paulo,32,1,1,1,3,n,s,480,2150,0
Rio de Janeiro,60,1,1,1,7,s,n,650,1210,106
São Paulo,35,1,1,0,15,s,n,306,2000,0
Rio de Janeiro,83,2,3,2,4,s,s,3850,6000,1128
São Paulo,510,5,5,5,-,n,s,0,10000,2317
São Paulo,110,3,2,2,6,s,n,950,5550,385
São Paulo,160,4,5,2,22,s,s,1200,6800,500
Rio de Janeiro,60,2,1,0,11,s,n,670,2500,34
São Paulo,136,3,2,1,10,n,s,1300,6500,267
São Paulo,114,3,1,0,-,s,n,0,2570,150
Belo Horizonte,38,1,1,0,2,n,n,0,1300,0
Rio de Janeiro,60,1,1,0,10,n,n,450,1800,48
São Paulo,140,3,2,2,-,s,n,0,2600,45
Rio de Janeiro,70,2,1,1,5,n,n,470,1710,100
São Paulo,168,3,3,3,3,s,n,1605,2700,322
Belo Horizonte,220,4,3,2,2,s,n,1200,3500,271
Campinas,37,1,1,0,4,n,s,335,761,0
São Paulo,170,3,3,0,10,s,n,1900,7500,529
São Paulo,52,2,1,1,4,s,n,0,1450,0
São Paulo,136,3,3,3,15,s,s,1450,7900,490
São Paulo,170,3,3,3,-,s,n,0,3500,209
Belo Horizonte,462,4,6,0,9,s,s,1320,7600,884
São Paulo,480,4,4,4,12,s,s,6500,15000,2084
Belo Horizonte,327,4,4,2,-,s,n,0,8799,563
Belo Horizonte,300,3,3,0,-,s,s,0,5000,0
São Paulo,130,3,3,2,3,s,n,1140,4000,292
Belo Horizonte,330,5,4,2,-,s,n,0,8000,267
Belo Horizonte,312,4,3,3,1,s,n,1498,2300,463
São Paulo,35,1,1,1,6,n,s,886,1250,90
São Paulo,100,3,3,2,6,s,n,1250,5500,250
São Paulo,80,2,1,2,2,s,s,900,2424,245
São Paulo,58,2,1,1,6,s,n,850,1700,165
Campinas,350,2,2,2,-,s,n,0,4300,150
São Paulo,62,2,2,2,4,s,n,720,1720,120
Rio de Janeiro,68,2,1,1,2,s,n,560,1100,42
Porto Alegre,215,3,4,2,1,s,n,1900,3600,300
Rio de Janeiro,130,3,2,1,5,s,n,1300,2820,300
Porto Alegre,77,2,2,2,4,s,n,450,2000,0
São Paulo,71,1,1,1,11,s,n,1650,3000,238
Rio de Janeiro,58,2,1,1,7,s,n,754,750,44
Belo Horizonte,55,2,1,1,2,n,n,250,1200,67
São Paulo,300,3,6,6,-,n,n,0,5000,1000
São Paulo,36,1,1,0,4,s,n,175,1275,0
São Paulo,500,4,4,3,-,s,n,0,9000,0
São Paulo,92,2,1,1,2,s,n,425,1536,72
Belo Horizonte,52,2,2,1,4,s,n,285,900,59
São Paulo,480,5,8,6,-,s,n,0,13200,1230
São Paulo,100,2,1,1,11,s,n,1173,4000,120
Campinas,50,1,1,0,1,n,s,640,2000,100
Porto Alegre,135,3,3,4,5,s,n,200,4000,0
São Paulo,20,1,1,0,4,n,s,150,3142,67
Campinas,76,2,1,0,3,s,n,300,700,100
Rio de Janeiro,406,3,4,2,3,s,s,3200,15000,1167
São Paulo,140,2,2,1,5,n,s,700,1900,150
Campinas,135,3,2,2,3,s,n,1100,2040,92
Porto Alegre,69,2,2,1,-,s,s,573,1500,107
Rio de Janeiro,84,3,1,0,1,n,n,900,3100,209
São Paulo,50,2,1,1,2,s,n,400,1600,0
São Paulo,50,1,1,1,21,s,s,765,2700,105
São Paulo,65,2,1,1,3,s,n,315,1400,47
São Paulo,58,2,1,2,10,s,n,383,1360,0
São Paulo,59,2,2,0,5,n,n,754,1990,25
Rio de Janeiro,28,1,1,0,6,s,s,580,1850,59
Rio de Janeiro,95,3,2,1,6,s,n,702,1650,76
São Paulo,40,1,1,0,-,n,n,0,1010,0
São Paulo,42,1,1,1,27,s,n,560,5300,100
São Paulo,70,2,2,0,14,n,n,600,3200,0
São Paulo,140,2,4,2,19,n,n,950,6599,375
São Paulo,68,1,1,1,12,s,s,4240,6000,584
São Paulo,110,2,3,3,1,n,n,1600,1890,0
Rio de Janeiro,168,3,2,3,9,s,n,3349,13200,637
Campinas,220,3,5,3,4,n,s,2000,7900,417
Porto Alegre,27,1,1,0,8,n,s,360,1000,13
Belo Horizonte,152,4,4,3,4,s,n,1350,4100,525
Porto Alegre,102,2,1,0,4,s,n,420,1250,88
São Paulo,200,2,4,1,-,s,n,0,15000,829
São Paulo,60,2,2,1,10,s,n,750,3400,100
Belo Horizonte,400,6,5,5,-,s,n,0,7500,417
São Paulo,17,1,1,0,1,n,s,300,2100,50
Belo Horizonte,113,2,2,2,4,s,n,343,2500,118
São Paulo,65,2,1,2,21,s,n,1111,4000,233
Rio de Janeiro,87,3,1,1,7,s,n,786,1800,159
São Paulo,94,3,3,3,4,s,s,1400,4450,330
São Paulo,90,3,3,2,-,s,n,0,2000,50
Porto Alegre,40,1,1,0,3,s,n,250,930,21
São Paulo,120,4,3,3,8,s,n,1680,3430,622
Porto Alegre,58,1,1,0,8,s,n,500,867,42
São Paulo,160,3,4,3,-,s,n,0,2770,475
São Paulo,70,2,1,0,-,n,n,0,1300,0
São Paulo,43,1,1,1,6,s,n,500,3000,11
São Paulo,85,2,2,1,6,n,s,850,3000,71
Belo Horizonte,54,2,1,1,4,s,n,197,1280,57
Belo Horizonte,147,4,2,3,10,s,n,850,4700,330
Rio de Janeiro,98,3,2,0,5,s,n,854,3500,182
São Paulo,252,4,5,5,18,s,s,3100,12500,1750
Rio de Janeiro,126,3,2,1,11,s,n,1658,3200,591
São Paulo,45,2,1,0,2,n,n,350,1500,50
São Paulo,290,3,4,3,7,s,s,3900,8770,1834
Rio de Janeiro,104,3,1,0,6,s,n,784,3500,195
Porto Alegre,20,1,1,1,-,s,s,0,950,75
São Paulo,273,4,4,2,4,n,n,2306,9000,417
Rio de Janeiro,60,2,1,1,1,n,n,800,1500,55
São Paulo,208,4,4,3,1,s,s,2860,8000,1672
Rio de Janeiro,50,1,1,0,4,s,n,450,850,3
Belo Horizonte,58,2,2,2,1,s,n,304,1700,100
Belo Horizonte,103,2,2,2,1,n,n,400,1200,100
Rio de Janeiro,80,2,1,0,9,s,n,500,1600,158
São Paulo,87,1,1,2,14,s,s,870,7900,150
São Paulo,286,4,5,4,12,s,s,3150,4000,1580
Belo Horizonte,241,5,4,3,-,s,n,0,5200,310
Rio de Janeiro,140,3,3,0,4,s,n,1700,3800,359
Campinas,208,3,2,4,-,s,n,0,3180,100
São Paulo,72,2,1,1,4,s,n,650,1000,12
Belo Horizonte,190,4,4,3,1,n,n,1740,6200,501
São Paulo,240,3,4,4,-,n,n,0,4000,370
São Paulo,90,2,1,0,1,n,n,500,2700,25
Belo Horizonte,25,1,1,1,1,n,n,0,500,38
Belo Horizonte,200,4,3,2,-,s,n,0,13000,236
São Paulo,150,3,3,2,10,s,n,1570,4000,515
São Paulo,53,2,1,1,7,s,n,450,4000,42
São Paulo,132,3,2,2,8,s,s,1650,4000,400
Rio de Janeiro,80,1,1,0,4,s,n,0,4000,150
São Paulo,48,2,1,1,3,s,n,328,1550,54
Belo Horizonte,230,4,2,1,2,s,n,300,2850,190
São Paulo,90,3,2,1,2,s,n,945,2000,5
Belo Horizonte,65,3,2,1,5,n,n,250,950,82
São Paulo,339,4,5,4,13,s,s,2800,15000,1440
São Paulo,168,4,4,3,6,s,n,1400,3250,234
São Paulo,240,3,5,3,14,s,s,3500,10800,1250
São Paulo,369,4,4,5,12,s,s,4074,15000,2917
São Paulo,277,3,4,2,17,s,n,3000,7650,784
Porto Alegre,40,1,1,1,9,n,s,1300,1200,68
Rio de Janeiro,200,4,2,1,8,n,s,1500,3800,321
São Paulo,120,4,3,2,8,s,n,2010,2210,334
São Paulo,220,2,4,2,-,s,s,0,6200,1200
Porto Alegre,43,1,1,1,4,s,n,240,1870,0
São Paulo,250,4,5,3,-,s,n,0,5000,565
Belo Horizonte,100,3,2,0,-,s,n,0,1550,125
São Paulo,400,3,3,4,-,s,n,0,3650,0
São Paulo,92,3,1,0,1,n,s,150,1700,13
São Paulo,30,1,1,0,-,n,n,0,1000,0
São Paulo,70,2,2,2,7,n,s,1726,3950,341
Porto Alegre,67,2,1,0,3,s,n,330,1523,50
Rio de Janeiro,70,2,2,0,7,n,s,750,6100,150
Rio de Janeiro,73,2,1,0,4,s,n,375,830,120
São Paulo,280,3,3,7,-,s,n,0,8670,450
Porto Alegre,56,1,1,0,2,s,n,300,700,34
Belo Horizonte,141,4,2,1,2,s,n,0,3000,117
Campinas,260,4,3,4,-,s,s,600,5830,596
Belo Horizonte,220,4,4,0,13,n,n,2000,8000,1067
São Paulo,400,3,3,2,-,n,n,0,12000,0
São Paulo,261,3,4,4,7,s,n,2700,15000,834
São Paulo,170,6,5,1,-,s,n,0,3468,0
São Paulo,90,3,1,0,13,s,n,785,1600,0
Porto Alegre,61,2,1,0,3,n,n,400,1445,0
Belo Horizonte,80,2,3,2,5,s,n,980,2800,350
São Paulo,299,4,5,4,8,s,n,3103,6300,1096
São Paulo,350,2,4,8,-,n,n,0,3300,450
Belo Horizonte,200,4,4,3,3,s,n,2000,4000,475
Belo Horizonte,290,4,5,4,-,s,n,0,6000,500
São Paulo,164,4,4,3,1,s,n,1840,6000,550
São Paulo,700,4,6,6,-,s,n,0,12500,2176
Rio de Janeiro,72,2,2,1,5,s,n,500,1200,5
São Paulo,270,3,4,3,10,s,n,3809,7900,1792
São Paulo,63,2,1,1,3,s,n,600,1120,34
Belo Horizonte,300,3,4,2,-,n,n,0,7000,84
São Paulo,150,3,4,3,1,s,s,1300,5120,834
São Paulo,77,3,2,1,5,n,s,400,2050,55
Campinas,219,4,5,2,4,s,s,1954,3800,472
São Paulo,75,3,2,1,11,n,n,980,2000,109
Rio de Janeiro,160,3,2,1,11,s,n,1860,4700,275
Campinas,115,3,2,2,15,s,n,1018,2690,214
Belo Horizonte,150,5,3,0,-,s,n,0,3250,100
Rio de Janeiro,36,1,1,0,10,s,n,450,1370,29
São Paulo,25,1,1,0,3,n,n,327,1178,27
Belo Horizonte,40,2,1,0,11,n,n,330,1100,0
São Paulo,53,2,1,1,8,s,s,950,1200,0
Belo Horizonte,297,4,2,3,6,s,n,2000,1870,209
Rio de Janeiro,80,2,2,2,12,s,n,900,935,100
São Paulo,87,3,2,3,3,s,n,914,1300,265
São Paulo,70,2,1,0,-,s,n,0,999,42
São Paulo,57,2,2,1,8,s,n,465,1150,10
São Paulo,89,2,2,2,8,s,s,1440,7700,351
Rio de Janeiro,50,2,1,0,3,n,n,490,2300,50
São Paulo,250,4,4,2,17,s,s,2600,6000,500
Porto Alegre,78,3,1,1,2,s,n,500,1200,400
Rio de Janeiro,185,3,2,1,3,s,n,2488,6900,0
Rio de Janeiro,70,2,1,1,2,s,n,560,2180,60
São Paulo,200,3,2,2,-,s,s,0,4700,184
Rio de Janeiro,100,3,2,2,13,s,n,970,2400,395
Porto Alegre,82,2,2,1,5,s,n,450,1700,67
Porto Alegre,68,2,2,1,3,s,n,400,1800,82
São Paulo,162,3,3,1,8,s,n,2150,7000,492
São Paulo,260,4,4,4,4,s,n,3247,15000,1589
São Paulo,50,1,1,1,13,s,n,500,1800,0
São Paulo,240,3,3,0,-,s,n,300,4300,292
São Paulo,373,4,4,3,12,s,n,4500,12750,1417
Porto Alegre,42,1,1,0,15,s,n,350,1500,0
Rio de Janeiro,40,2,1,1,4,s,n,450,1000,65
Belo Horizonte,180,4,2,2,-,s,n,0,1800,210
Rio de Janeiro,25,1,1,0,-,s,n,50,700,0
São Paulo,78,3,2,2,10,s,n,650,2400,117
Belo Horizonte,74,3,2,1,1,s,n,450,1000,92
Rio de Janeiro,120,3,3,2,6,s,n,1316,3000,504
Rio de Janeiro,35,1,1,0,5,s,n,306,1521,21
São Paulo,550,4,5,0,1,s,n,2700,8800,0
Belo Horizonte,80,3,1,1,12,s,n,554,1300,69
São Paulo,384,5,5,3,13,s,n,4000,8000,1240
Belo Horizonte,100,3,2,1,5,s,n,730,1500,120
Campinas,110,3,1,2,-,s,n,0,1900,64
São Paulo,800,5,7,6,-,s,n,1,15000,2051
Porto Alegre,38,1,1,2,11,n,n,450,1750,0
Porto Alegre,220,3,2,2,15,s,n,842,2400,117
Rio de Janeiro,120,3,2,1,2,s,s,1400,4113,317
São Paulo,105,3,2,3,4,s,n,1100,2530,428
São Paulo,260,3,4,2,-,s,n,0,7609,876
Belo Horizonte,95,3,2,1,3,s,n,722,1400,129
Porto Alegre,42,1,1,0,4,s,n,400,1200,33
Rio de Janeiro,130,3,2,2,5,s,n,2250,6500,415
Rio de Janeiro,110,3,2,1,4,s,n,1200,2850,259
São Paulo,45,1,1,0,-,n,n,0,1030,0
São Paulo,90,2,2,1,-,n,n,0,4500,414
Campinas,43,1,1,1,4,s,s,498,2100,84
São Paulo,170,3,2,2,-,s,n,0,4500,267
Campinas,36,1,1,0,5,s,n,290,700,10
São Paulo,280,3,4,3,-,s,s,0,8000,500
São Paulo,68,2,1,1,5,s,n,525,1600,142
Porto Alegre,42,1,1,0,10,s,n,32000,700,40
São Paulo,210,5,4,1,-,s,n,0,15000,1667
Belo Horizonte,380,4,5,4,-,s,n,0,8500,857
São Paulo,60,2,1,1,6,s,s,620,2650,63
Porto Alegre,330,3,4,2,-,s,s,630,9000,375
Rio de Janeiro,26,1,1,0,9,s,n,976,1600,61
São Paulo,137,3,2,1,6,s,n,1480,4700,293
São Paulo,60,2,2,1,6,s,n,650,2127,23
São Paulo,215,3,3,4,-,s,n,0,4800,275
São Paulo,134,3,3,2,18,s,s,900,3500,390
São Paulo,200,3,4,4,2,n,s,3300,12000,1167
São Paulo,95,3,2,2,5,s,n,1760,1200,296
Belo Horizonte,80,2,1,0,2,s,n,0,1150,75
Belo Horizonte,100,7,2,1,-,s,n,0,2800,28
Belo Horizonte,802,6,6,8,-,s,s,0,15000,1003
Belo Horizonte,130,4,2,2,2,s,n,1150,2350,274
São Paulo,500,5,5,8,1,s,n,0,9800,92
São Paulo,40,1,1,0,-,n,n,0,600,34
Porto Alegre,40,1,1,1,11,s,s,1300,1200,68
Porto Alegre,70,3,1,1,13,s,n,500,1300,36
São Paulo,120,3,1,0,1,s,n,0,1210,207
São Paulo,58,2,2,1,6,s,n,450,4700,42
São Paulo,172,2,4,3,23,s,n,1400,11000,775
São Paulo,85,2,3,1,14,s,n,709,3300,94
Rio de Janeiro,184,4,2,3,9,s,s,2800,2550,417
São Paulo,220,4,4,3,4,n,s,2200,4930,809
São Paulo,400,3,3,1,3,s,n,3000,11000,142
Campinas,54,1,2,0,1,s,n,245,720,46
São Paulo,92,2,1,1,11,n,n,0,6860,0
São Paulo,480,4,6,5,-,s,n,0,15000,1572
Belo Horizonte,15,1,1,0,3,n,s,0,1100,0
Porto Alegre,80,2,1,0,1,s,n,0,950,65
São Paulo,200,3,4,3,20,n,s,2450,12000,1261
São Paulo,100,2,4,2,12,n,s,885,3000,330
São Paulo,350,7,4,2,-,n,n,0,8000,1250
Porto Alegre,359,3,4,2,3,s,n,2300,7000,292
Belo Horizonte,176,4,5,3,6,s,s,2136,6500,704
São Paulo,135,3,2,1,21,s,s,950,7500,77
Campinas,57,1,2,1,12,n,n,660,650,0
São Paulo,70,2,1,0,-,s,n,100,2000,42
São Paulo,300,3,4,3,7,s,s,3000,2000,1250
Porto Alegre,44,1,1,1,9,s,n,280,1170,31
Porto Alegre,64,1,1,1,6,s,n,400,1500,400
São Paulo,180,3,2,1,2,s,n,1000,10000,180
São Paulo,117,2,2,1,11,n,s,630,7130,150
Campinas,54,2,1,1,3,s,n,320,1800,72
São Paulo,95,3,2,0,-,s,n,0,2300,125
Campinas,54,2,1,1,13,s,n,320,1580,69
São Paulo,85,2,1,1,1,n,n,539,1200,74
São Paulo,44,1,1,0,1,n,n,0,1200,30
São Paulo,38,1,1,0,1,n,n,60,950,0
Belo Horizonte,380,5,6,2,-,s,n,0,4500,125
Campinas,60,3,2,1,13,n,n,340,1700,120
Campinas,411,4,5,4,-,s,n,0,5500,667
São Paulo,41,1,1,0,-,s,n,250,1100,0
Porto Alegre,70,2,1,0,8,s,s,400,1200,34
Rio de Janeiro,80,2,2,1,4,s,n,1090,2500,119
Rio de Janeiro,80,2,2,1,7,s,s,1180,5435,207
São Paulo,600,4,5,6,-,s,n,0,12000,9500
São Paulo,236,4,5,4,7,s,n,3500,10000,1834
São Paulo,42,1,1,1,7,s,s,530,2900,35
São Paulo,79,3,2,2,4,n,s,660,3200,26
São Paulo,27,1,1,0,5,n,n,1405,3500,1
São Paulo,87,3,2,2,17,s,n,1308,2350,321
São Paulo,89,3,2,1,14,s,n,800,1760,100
São Paulo,113,2,1,1,5,s,n,1000,3000,50
São Paulo,75,2,2,0,1,n,n,750,2125,146
Belo Horizonte,110,3,2,0,-,s,n,0,2500,0
São Paulo,279,5,5,6,3,s,s,900,4420,834
São Paulo,81,1,1,1,8,s,n,600,1150,67
São Paulo,230,3,3,4,12,s,s,2300,3200,750
São Paulo,183,4,3,4,3,s,n,2380,5950,192
São Paulo,80,2,1,0,-,n,n,0,1500,0
São Paulo,104,3,3,2,3,n,s,915,9000,254
São Paulo,290,4,3,2,1,n,s,2890,7150,862
Porto Alegre,40,1,1,0,-,n,n,0,750,0
São Paulo,200,3,3,3,-,s,n,0,3315,241
Campinas,550,3,4,8,-,s,n,0,4600,380
São Paulo,72,2,1,1,21,s,n,519,1701,155
Belo Horizonte,220,4,2,3,3,s,n,450,2422,125
São Paulo,108,3,2,2,7,s,n,1290,5600,435
Porto Alegre,47,1,1,1,1,n,s,400,2200,0
São Paulo,174,3,5,3,24,s,n,1350,6800,4565
Rio de Janeiro,45,1,1,1,5,s,s,1050,2700,196
São Paulo,300,3,3,4,-,s,n,1,3700,950
Rio de Janeiro,130,4,2,2,7,s,s,1300,4200,592
São Paulo,30,1,1,1,13,s,s,700,3300,9
Belo Horizonte,200,2,4,3,12,s,n,1897,15000,827
São Paulo,129,3,4,2,8,s,n,1800,3000,600
São Paulo,700,3,3,8,-,s,s,1200,13500,1210
Porto Alegre,88,2,2,2,1,s,n,240,1600,84
São Paulo,43,2,1,1,-,s,n,280,1900,0
São Paulo,250,4,4,2,-,n,n,0,6600,0
Porto Alegre,40,1,1,0,6,s,n,180,1250,6
São Paulo,12,1,1,0,-,n,n,0,950,50
São Paulo,140,2,1,0,13,s,n,900,2200,0
São Paulo,400,6,6,8,15,s,s,3000,4335,1750
São Paulo,150,3,2,1,6,n,n,1246,5500,0
Rio de Janeiro,80,2,1,1,5,s,n,1180,2400,129
São Paulo,50,1,1,1,7,s,s,2000,2000,382
São Paulo,30,1,1,0,9,n,s,423,2350,46
São Paulo,84,2,2,0,12,s,n,747,1500,0
São Paulo,22,1,1,0,25,s,n,472,2200,55
São Paulo,257,4,3,2,-,s,n,0,7000,1200
São Paulo,35,1,1,0,6,s,s,420,1660,0
São Paulo,168,4,3,3,5,s,n,2128,13000,809
Rio de Janeiro,112,3,2,0,7,s,n,1344,3900,271
São Paulo,90,2,2,2,8,s,n,965,4500,36
Rio de Janeiro,150,3,3,1,5,s,n,932,4800,180
Campinas,70,3,1,1,1,s,n,650,1300,17
Porto Alegre,40,1,1,0,7,s,n,180,1000,6
Belo Horizonte,95,2,2,1,10,s,n,735,1600,170
Rio de Janeiro,160,3,2,1,2,s,n,2000,4000,417
São Paulo,22,1,1,0,26,s,n,384,2100,40
São Paulo,55,1,1,0,-,s,n,0,1650,0
Rio de Janeiro,57,1,1,0,2,s,n,200,1100,10
São Paulo,167,3,1,0,-,s,n,0,1500,0
São Paulo,193,3,3,3,1,n,n,3100,6500,834
São Paulo,450,4,5,6,-,s,n,0,12000,1334
São Paulo,41,2,1,0,16,s,n,270,1200,0
São Paulo,250,5,3,6,-,s,n,0,15000,2704
Rio de Janeiro,160,3,2,1,5,s,n,1815,3000,256
São Paulo,197,3,4,3,16,s,s,2400,6502,1167
São Paulo,50,2,1,0,-,n,n,0,1100,80
São Paulo,227,4,4,3,6,s,n,4000,9000,1417
Rio de Janeiro,140,3,3,1,1,s,n,2285,2820,343
Rio de Janeiro,333,5,4,3,5,s,n,2100,7000,1000
São Paulo,131,3,2,2,1,s,n,1497,1800,600
Rio de Janeiro,44,1,1,0,3,s,s,400,1100,14
São Paulo,60,1,1,1,20,n,s,490,3250,131
São Paulo,168,3,4,5,7,s,s,1610,3600,190
São Paulo,49,2,1,1,1,s,n,415,1368,0
Belo Horizonte,1000,3,4,2,-,s,n,0,5000,365
São Paulo,65,2,2,2,21,s,n,650,3200,234
São Paulo,230,3,4,4,12,s,n,3300,7000,917
Belo Horizonte,25,1,1,0,3,n,s,700,890,59
São Paulo,300,3,5,4,12,n,n,6593,6000,1974
Porto Alegre,45,1,1,1,3,s,n,367,1020,21
Porto Alegre,78,3,2,1,4,s,n,450,2800,75
Porto Alegre,73,2,1,1,8,s,n,550,2500,50
Rio de Janeiro,61,2,1,0,3,s,n,640,1297,21
São Paulo,61,1,2,1,4,s,s,680,2270,25
São Paulo,350,4,5,5,17,s,s,2400,15000,2400
São Paulo,113,3,4,3,5,s,s,1055,3400,178
Porto Alegre,600,5,4,5,-,s,s,0,12000,1167
Rio de Janeiro,170,2,2,1,9,s,n,884,2940,80
Belo Horizonte,85,3,2,1,3,s,n,250,1450,73
São Paulo,50,1,1,0,1,n,n,150,830,0
São Paulo,98,2,1,1,1,s,n,650,1800,8
São Paulo,500,4,5,8,-,s,n,0,15000,1850
São Paulo,150,3,3,2,-,s,n,0,4680,235
Campinas,75,3,1,2,3,s,n,599,1300,74
São Paulo,49,1,1,2,8,s,s,2000,8000,217
São Paulo,90,3,2,2,3,s,n,1100,2450,117
Porto Alegre,40,1,1,0,1,s,s,0,816,0
Campinas,62,2,1,1,3,s,n,485,980,48
São Paulo,200,5,3,2,1,s,n,1480,9000,259
São Paulo,215,3,3,2,1,n,s,3000,15000,834
Rio de Janeiro,120,3,2,0,6,s,n,650,2490,105
São Paulo,70,2,2,1,1,s,n,280,1000,138
São Paulo,190,4,4,2,-,s,n,0,3500,315
Porto Alegre,70,2,1,0,1,s,n,375,750,26
São Paulo,65,2,1,1,8,n,s,708,1600,0
São Paulo,59,2,1,1,3,n,n,270,1400,417
São Paulo,148,3,3,0,6,s,n,2056,2400,200
São Paulo,43,1,1,0,5,s,s,1195,680,220
Rio de Janeiro,125,3,1,2,11,s,n,1317,2600,170
Campinas,76,1,1,1,1,n,s,969,2500,130
São Paulo,400,3,4,4,-,s,s,0,15000,0
São Paulo,70,3,2,1,7,s,n,800,2800,67
São Paulo,94,1,2,2,2,n,s,1356,13000,384
São Paulo,31,1,1,1,4,s,n,272,3200,64
São Paulo,168,4,3,3,7,s,n,1900,3500,768
Porto Alegre,75,2,2,1,6,s,n,383,1400,117
Belo Horizonte,230,5,3,2,3,s,n,500,2200,249
São Paulo,111,1,2,2,9,s,n,1400,8000,466
Rio de Janeiro,47,2,1,1,4,s,n,466,1375,0
Porto Alegre,27,1,1,0,2,s,n,100,960,75
Belo Horizonte,70,2,1,1,11,s,n,897,1300,125
São Paulo,65,2,2,1,9,s,n,748,2800,222
São Paulo,320,5,5,4,4,s,n,5800,5500,1500
São Paulo,200,3,3,0,-,s,n,0,4500,71
Belo Horizonte,65,2,1,1,3,s,n,566,1100,84
Rio de Janeiro,60,2,1,0,-,n,n,0,1200,0
São Paulo,40,1,1,1,16,s,s,620,3500,92
Campinas,150,4,2,0,-,s,n,0,2500,184
São Paulo,129,3,5,0,14,s,n,1200,6000,561
São Paulo,33,1,1,0,12,s,n,300,1650,0
São Paulo,72,2,2,0,10,s,n,820,1500,70
Belo Horizonte,120,3,2,2,4,n,n,350,1500,81
São Paulo,126,2,1,0,-,s,n,0,1700,314
São Paulo,135,3,2,1,4,s,n,1378,3290,279
Belo Horizonte,30,1,1,0,2,s,n,0,525,25
Belo Horizonte,441,5,5,8,-,s,n,0,8000,553
Rio de Janeiro,80,2,2,0,6,s,s,810,2000,289
Campinas,53,2,1,1,-,s,n,284,2000,41
São Paulo,78,2,1,1,1,s,n,410,2500,0
Rio de Janeiro,64,2,1,1,1,s,s,2244,1900,258
São Paulo,92,2,2,1,6,n,n,1590,2490,158
São Paulo,120,3,2,1,17,s,n,1250,2000,230
São Paulo,20,1,1,0,1,n,n,0,1000,84
São Paulo,90,2,2,2,2,s,n,1230,3640,342
Campinas,78,3,2,1,6,s,n,645,1600,67
São Paulo,182,3,2,3,12,s,n,2307,12000,786
São Paulo,58,1,1,1,1,s,s,475,3500,70
Porto Alegre,80,1,1,0,-,s,n,0,800,40
Campinas,160,2,1,2,-,s,n,0,3950,125
São Paulo,378,4,4,8,-,s,s,0,10000,1334
Rio de Janeiro,117,3,4,1,2,s,n,0,4870,464
Belo Horizonte,700,3,3,8,-,s,n,0,10000,807
São Paulo,96,2,1,2,3,s,n,880,1648,80
Belo Horizonte,70,2,2,2,6,s,n,625,2250,211
São Paulo,62,1,2,1,4,s,s,2400,12000,350
Porto Alegre,92,3,2,1,4,s,s,720,3200,75
Rio de Janeiro,90,2,2,1,9,s,s,1105,2250,208
São Paulo,57,1,1,0,10,s,s,300,6000,17
Belo Horizonte,285,4,4,2,-,s,n,0,3000,200
São Paulo,500,3,2,8,-,s,n,0,4000,632
São Paulo,172,4,5,3,9,s,n,2655,5500,943
São Paulo,33,1,1,1,1,n,s,1512,1464,313
São Paulo,500,4,3,5,-,n,s,0,12000,84
Rio de Janeiro,137,3,3,1,1,s,s,1180,2900,214
Belo Horizonte,1020,5,4,6,-,s,s,0,6520,654
Rio de Janeiro,50,1,1,1,5,s,n,90,1010,0
São Paulo,300,2,2,0,-,s,s,0,3000,292
São Paulo,40,1,1,2,5,s,n,915,1559,169
São Paulo,50,1,1,0,12,s,s,501,1800,0
Campinas,115,2,3,2,4,s,s,687,3500,220
São Paulo,170,3,2,4,6,s,n,3678,1500,1130
Campinas,74,2,2,2,9,s,s,500,4920,0
São Paulo,95,3,2,0,2,s,n,0,2350,0
Rio de Janeiro,100,3,1,0,12,s,n,1367,3399,217
São Paulo,45,1,2,0,1,s,n,0,1430,0
Rio de Janeiro,25,1,1,0,3,s,s,350,1750,46
Belo Horizonte,190,2,3,0,-,s,n,0,2500,14
Porto Alegre,67,2,1,1,9,s,n,300,1200,284
Rio de Janeiro,260,4,1,2,5,s,s,3800,15000,1167
Rio de Janeiro,78,2,1,0,5,s,n,850,1600,94
São Paulo,98,1,2,0,27,s,s,3177,15000,130
São Paulo,47,1,1,0,1,s,n,490,1200,26
Rio de Janeiro,47,2,2,0,5,s,s,990,4210,158
São Paulo,462,4,6,4,-,s,s,0,8000,1081
São Paulo,54,2,2,1,8,n,n,769,2200,216
São Paulo,128,3,3,0,3,s,s,2500,12000,500
São Paulo,83,2,3,2,8,s,n,1555,3200,735
São Paulo,327,4,4,5,9,s,s,5200,7000,2662
Campinas,70,2,1,1,3,s,n,500,1275,74
São Paulo,186,4,2,2,2,s,n,1500,2500,0
Porto Alegre,350,6,5,2,-,n,n,0,4000,334
